issuer,"total_certs","risky_certs","risk_percent",tier,zscore
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1495989952129971",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1495989952335542",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496004351977065",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496004352997779",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496011552052560",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496011552431729",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496018752213248",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496018752458786",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496025952437726",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496040352258729",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496040352291038",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496040352362357",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496047552208308",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496047552352331",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496054752312293",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496061952877915",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496061953282577",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496069152115343",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496069152159248",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496069152191999",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496076352271248",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496083551966985",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496083552673162",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496090751973352",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496090752309694",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496097952169232",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496112352031363",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496112352231383",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496112352295805",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496126751977626",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496133952397128",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496141152041406",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496141152065475",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496148351997826",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496155552231468",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496169952109224",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496169952510974",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496177152032886",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496177152446909",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496177152557076",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496184352036922",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496198752340623",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496198752454611",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496205952590772",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496220352149546",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496234752501447",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496234752651047",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496241952477793",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496256352191998",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496256352333673",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496256352842397",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496270752041838",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496270753384314",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496277952414677",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496277952459593",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496277952838950",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496285152642343",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496299552388110",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496306752214086",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496306752236444",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496313952490903",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496335552109277",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496357152146502",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496357152245549",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496357152525498",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496371552771790",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496371553095438",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496385952177024",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496385952481564",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496385952542161",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496393152503927",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496400352040267",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496400352243235",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496400352867864",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496414752679616",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496414752762072",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496414752939443",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496421952591223",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496421952764479",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496429152064684",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496429152799401",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496436352647802",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496436352907843",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496450752330825",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496457952257539",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496457952460974",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496462704410360",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496462704770371",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496462706905969",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496469904538235",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496469906426501",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496477104873918",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496484304446852",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496484306394725",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496505904994199",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496513104550822",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496513104811490",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496513104822073",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496513106490528",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496520304532045",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496520304854094",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496527504387473",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496534706625148",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496549105089156",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496549106527971",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496556304425175",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496556304833937",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496563504698796",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496570704745317",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496585104430023",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496592304433245",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496599504829651",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496599506486599",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496606704590825",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496606704780435",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496613907127590",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496621104670730",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496621104712937",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496640693960427",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496640693979668",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496647894186149",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496655094247711",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496662294156150",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496662294202448",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496669494070769",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496676694448128",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496683894335482",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496698294046923",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496698298826049",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496705493974294",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496705494055300",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496712694021391",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496713743014503",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496718120602609",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496719894271331",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496741494082617",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496742543003010",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496743394245220",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496750594092586",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496764993929881",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496765701357305",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496780100658604",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496787300689060",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496801701383145",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496808900807576",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496817702130934",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496823300683855",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496823301354332",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496830500916297",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496844901679758",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496852101002510",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496852101157744",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496866501019896",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496868102466309",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496873701276656",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496888101156250",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496888101277566",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496895301071806",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496895301143327",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496902501034071",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496909700819591",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496911302279833",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496924101474538",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496931301075855",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496931301660317",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496932902111506",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496938501791153",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496945701250840",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496955503275675",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496960101371334",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496969903193773",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496974501602976",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496977103424072",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496981700954651",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496981701111068",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496984303550292",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496988901495367",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496988901682250",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1496996101234447",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497003300980689",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497003301432193",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497010501156693",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497010501484029",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497020303407273",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497024901642846",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497027503589124",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497032101344540",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497039301422148",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497046501123189",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497053701466237",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497053701545123",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497060901087705",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497068101178184",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497070703885167",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497075301138477",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497082501142599",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497082501379483",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497085103377122",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497096901354974",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497104101463442",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497111301468635",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497111301833767",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497113903328429",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497118501256064",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497125701672069",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497132901561444",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497132901752634",1,"0.0","0.0",tier1,"-0.08"
"/C=GB/L=London/O=Google Certificate Transparency (Precert Signing)/serialNumber=1497135503158308",1,"0.0","0.0",tier1,"-0.08"
